PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
152,1,1,0,22.0,1,0,36,66.6,61,2
754,0,3,1,23.0,0,0,351,7.8958,147,2
747,0,3,1,16.0,1,1,551,20.25,147,2
685,0,2,1,60.0,1,1,240,39.0,147,2
888,1,1,0,19.0,0,0,14,30.0,30,2
844,0,3,1,34.5,0,0,205,6.4375,147,0
885,0,3,1,25.0,0,0,650,7.05,147,2
659,0,2,1,23.0,0,0,241,13.0,147,2
100,0,2,1,34.0,1,0,150,26.0,147,2
46,0,3,1,28.0,0,0,617,8.05,147,2
261,0,3,1,28.0,0,0,482,7.75,147,1
140,0,1,1,24.0,0,0,592,79.2,45,0
455,0,3,1,28.0,0,0,528,8.05,147,2
856,1,3,0,18.0,0,1,484,9.35,147,2
840,1,1,1,28.0,0,0,62,29.7,68,0
185,1,3,0,4.0,0,2,271,22.025,147,2
546,0,1,1,64.0,0,0,501,26.0,147,2
627,0,2,1,57.0,0,0,104,12.35,147,1
726,0,3,1,20.0,0,0,266,8.6625,147,2
123,0,2,1,32.5,1,0,132,30.0708,147,0
651,0,3,1,28.0,0,0,366,7.8958,147,2
144,0,3,1,19.0,0,0,438,6.75,147,1
662,0,3,1,40.0,0,0,172,7.225,147,0
738,1,1,1,35.0,0,0,608,512.3292,15,0
306,1,1,1,0.92,1,2,37,151.55,62,2
687,0,3,1,14.0,4,1,249,39.6875,147,2
128,1,3,1,24.0,0,0,541,7.1417,147,2
527,1,2,0,50.0,0,0,673,10.5,147,2
119,0,1,1,24.0,0,1,585,247.5208,36,0
67,1,2,0,29.0,0,0,553,10.5,142,2
756,1,2,1,0.67,1,1,166,14.5,147,2
476,0,1,1,28.0,0,0,2,52.0,1,2
327,0,3,1,61.0,0,0,299,6.2375,147,2
252,0,3,0,29.0,1,1,316,10.4625,145,2
675,0,2,1,28.0,0,0,138,0.0,147,2
175,0,1,1,56.0,0,0,90,30.6958,14,0
695,0,1,1,60.0,0,0,48,26.55,147,2
775,1,2,0,54.0,1,3,236,23.0,147,2
136,0,2,1,23.0,0,0,630,15.0458,147,0
153,0,3,1,55.5,0,0,516,8.05,147,2
342,1,1,0,24.0,3,2,95,263.0,63,2
422,0,3,1,21.0,0,0,534,7.7333,147,1
435,0,1,1,50.0,1,0,72,55.9,128,2
890,1,1,1,26.0,0,0,8,30.0,60,0
92,0,3,1,20.0,0,0,341,7.8542,147,2
115,0,3,0,17.0,0,0,176,14.4583,147,0
658,0,3,0,32.0,1,1,435,15.5,147,1
779,0,3,1,28.0,0,0,450,7.7375,147,1
147,1,3,1,27.0,0,0,405,7.7958,147,2
753,0,3,1,33.0,0,0,312,9.5,147,2
745,1,3,1,31.0,0,0,662,7.925,147,2
262,1,3,1,3.0,4,2,329,31.3875,147,2
833,0,3,1,28.0,0,0,199,7.2292,147,0
564,0,3,1,28.0,0,0,651,8.05,147,2
507,1,2,0,33.0,0,2,180,26.0,147,2
573,1,1,1,36.0,0,0,578,26.3875,121,2
746,0,1,1,70.0,1,1,680,71.0,20,2
760,1,1,0,33.0,0,0,0,86.5,40,2
285,0,1,1,28.0,0,0,24,26.0,3,2
495,0,3,1,21.0,0,0,518,8.05,147,2
97,0,1,1,71.0,0,0,607,34.6542,12,0
156,0,1,1,51.0,0,1,595,61.3792,147,0
74,0,3,1,26.0,1,0,204,14.4542,147,0
269,1,1,0,58.0,0,1,588,153.4625,57,2
478,0,3,1,29.0,1,0,315,7.0458,147,2
310,1,1,0,30.0,0,0,584,56.9292,125,0
868,0,1,1,31.0,0,0,590,50.4958,6,2
590,0,3,1,28.0,0,0,515,8.05,147,2
828,1,2,1,1.0,0,2,618,37.0042,147,0
209,1,3,0,16.0,0,0,445,7.75,147,1
875,1,2,0,28.0,1,0,575,24.0,147,0
647,0,3,1,19.0,0,0,373,7.8958,147,2
87,0,3,1,16.0,1,3,676,34.375,147,2
141,0,3,0,28.0,0,2,203,15.2458,147,0
648,1,1,1,56.0,0,0,69,35.5,7,0
819,0,3,1,43.0,0,0,543,6.45,147,2
54,1,2,0,29.0,1,0,239,26.0,147,2
424,0,3,0,28.0,1,1,331,14.4,147,2
601,1,2,0,24.0,2,1,142,27.0,147,2
184,1,2,1,1.0,2,1,114,39.0,144,2
52,0,3,1,21.0,0,0,522,7.8,147,2
369,1,3,0,28.0,0,0,78,7.75,147,1
131,0,3,1,33.0,0,0,380,7.8958,147,0
718,1,2,0,27.0,0,0,293,10.5,116,2
362,0,2,1,29.0,1,0,633,27.7208,147,0
442,0,3,1,20.0,0,0,305,9.5,147,2
848,0,3,1,35.0,0,0,359,7.8958,147,0
640,0,3,1,28.0,1,0,476,16.1,147,2
15,0,3,0,14.0,0,0,413,7.8542,147,2
388,1,2,0,36.0,0,0,220,13.0,147,2
604,0,3,1,44.0,0,0,430,8.05,147,2
692,1,3,0,4.0,0,1,393,13.4167,147,0
203,0,3,1,34.0,0,0,242,6.4958,147,2
281,0,3,1,65.0,0,0,290,7.75,147,1
177,0,3,1,28.0,3,1,488,25.4667,147,2
863,1,1,0,48.0,0,0,88,25.9292,94,2
490,1,3,1,9.0,1,1,562,15.9,147,2
542,0,3,0,9.0,4,2,333,31.275,147,2
882,0,3,1,33.0,0,0,394,7.8958,147,2
124,1,2,0,32.5,0,0,219,13.0,116,2
149,0,2,1,36.5,0,2,113,26.0,141,2
125,0,1,1,54.0,0,1,417,77.2875,98,2
65,0,1,1,28.0,0,0,601,27.7208,147,0
59,1,2,0,5.0,1,2,561,27.75,147,2
134,1,2,0,29.0,1,0,111,26.0,147,2
320,1,1,0,40.0,1,1,81,134.5,124,0
780,1,1,0,43.0,0,1,141,211.3375,22,2
636,1,2,0,28.0,0,0,130,13.0,147,2
464,0,2,1,48.0,0,0,121,13.0,147,2
49,0,3,1,28.0,2,0,190,21.6792,147,0
646,1,1,1,48.0,1,0,587,76.7292,101,0
761,0,3,1,28.0,0,0,420,14.5,147,2
576,0,3,1,19.0,0,0,420,14.5,147,2
423,0,3,1,29.0,0,0,259,7.875,147,2
116,0,3,1,21.0,0,0,666,7.925,147,2
210,1,1,1,40.0,0,0,17,31.0,8,0
258,1,1,0,30.0,0,0,0,86.5,40,2
382,1,3,0,1.0,0,2,187,15.7417,147,0
91,0,3,1,29.0,0,0,298,8.05,147,2
734,0,2,1,23.0,0,0,228,13.0,147,2
880,1,1,0,56.0,0,1,59,83.1583,70,0
