Store,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment,Year,Weekly_Sales
22.0,0.0,75.33,3.903,139.9896486,8.023,0.4385844748858448,983232.96
38.0,0.0,43.33,3.041,126.7313333,14.313,0.2828767123287671,351925.36
34.0,0.0,45.86,2.743,126.6066452,9.521,0.30205479452054795,892070.82
39.0,0.0,79.84,3.346,220.4886472,6.989,0.5602739726027397,1532316.79
30.0,0.0,87.01,2.653,210.9950134,8.2,0.5684931506849316,453210.24
4.0,0.0,52.65,2.741,126.5461613,7.127,1.0301369863013699,1999794.26
1.0,0.0,81.84,2.64,211.3699032,7.787,0.6655251141552512,1371986.6
11.0,0.0,45.34,2.983,214.7470729,7.551,0.12168949771689497,1194449.78
43.0,0.0,80.32,2.619,203.4799839,9.816,0.7406392694063927,655284.69
2.0,0.0,66.98,2.78,210.0505833,8.2,0.4155251141552511,1802450.29
3.0,0.0,57.06,2.732,214.3241011,7.368,0.32123287671232875,359949.27
2.0,0.0,65.69,3.877,221.2021074,6.891,0.3881278538812785,1847344.45
45.0,0.0,63.82,3.541,187.6917481,8.523,0.871689497716895,720946.99
5.0,0.0,71.53,2.835,210.8896556,6.465,0.5970319634703196,333522.6
31.0,0.0,82.68,2.705,210.833616,8.2,0.34977168949771686,1427624.5
4.0,0.0,69.23,3.473,129.5183333,5.644,0.813013698630137,2031406.41
16.0,0.0,37.77,3.663,192.6243322,6.339,0.41278538812785387,378100.31
44.0,0.0,49.96,2.831,126.4912903,7.61,0.44680365296803654,270516.84
31.0,0.0,70.87,2.835,210.0011018,8.2,0.5970319634703196,1381796.8
45.0,0.0,24.78,3.205,182.6585782,8.549,0.12168949771689497,654018.95
23.0,0.0,58.35,2.83,132.4357419,5.435,0.9331050228310502,1439432.06
28.0,1.0,47.87,2.946,126.4962581,13.975,1.0054794520547945,1558968.49
5.0,0.0,78.23,3.561,222.3323853,5.801,0.4851598173515982,341994.48
18.0,0.0,55.83,3.618,136.5017742,8.471,0.8908675799086758,1048212.62
25.0,0.0,74.32,3.567,214.7331351,7.28,0.6381278538812786,685676.58
19.0,0.0,72.3,2.958,132.4976,8.185,0.5684931506849316,1450407.32
13.0,1.0,33.16,2.671,126.4962581,8.316,1.0054794520547945,2030933.46
24.0,0.0,55.16,4.071,138.7281613,8.693,0.9045662100456622,1307182.29
5.0,0.0,87.71,2.664,212.1608984,6.496,0.7214611872146118,287205.38
30.0,0.0,87.57,3.524,214.8368678,7.852,0.10251141552511416,428782.38
7.0,0.0,23.33,2.717,189.7195417,9.014,0.32123287671232875,514731.6
19.0,0.0,56.11,3.055,132.8708387,8.067,0.9127853881278539,1404576.48
11.0,1.0,85.17,3.73,225.9660263,6.334,0.6079908675799087,1304584.4
39.0,0.0,61.64,3.669,219.7437314,7.244,0.7582191780821917,1470764.35
26.0,0.0,20.61,3.139,132.6804516,8.149,1.0465753424657533,1196813.33
33.0,0.0,90.94,4.103,130.8896774,7.396,0.6831050228310502,286082.76
45.0,0.0,66.55,2.706,182.622509,8.743,0.7965753424657535,716987.58
42.0,0.0,72.62,3.99,129.0756774,8.494,0.4714611872146119,524559.95
29.0,0.0,75.81,3.561,138.263,9.419,0.6189497716894977,514709.76
31.0,0.0,67.51,2.716,211.5661131,8.163,0.9127853881278539,1257921.28
32.0,0.0,52.3,2.762,190.9070184,9.137,0.8936073059360731,1102185.0
37.0,0.0,57.18,3.157,218.4062876,7.244,0.5027397260273972,558343.57
17.0,0.0,47.69,3.567,129.7706452,6.617,0.871689497716895,884042.63
31.0,0.0,59.52,3.288,213.4775305,8.028,0.3415525114155251,1412721.18
22.0,0.0,31.96,2.747,135.4657781,8.283,0.2187214611872146,988467.61
31.0,0.0,51.66,2.732,210.6766095,8.324,0.32123287671232875,1229635.7
26.0,0.0,52.68,4.056,138.6534,7.405,0.8075342465753425,961084.08
25.0,0.0,54.09,2.868,205.0137637,7.484,0.8744292237442923,616094.72
34.0,0.0,70.71,2.594,126.1454667,9.816,0.7965753424657535,885445.47
9.0,0.0,73.55,3.717,226.3567545,5.277,0.7883561643835616,523427.35
13.0,0.0,51.74,3.567,129.7706452,6.392,0.871689497716895,1929659.07
18.0,1.0,67.09,2.717,132.7564516,9.342,0.8579908675799087,1011201.12
36.0,0.0,68.03,2.762,209.2199574,8.464,0.3963470319634703,434116.8
29.0,1.0,46.28,3.536,136.4788,9.357,0.9851598173515981,913165.19
45.0,0.0,73.88,3.881,185.6486923,8.521,0.849771689497717,814395.17
9.0,0.0,54.43,3.36,223.9006766,5.667,0.2554794520547945,549967.89
17.0,0.0,25.13,2.842,126.8794839,6.885,1.0465753424657533,1049372.38
41.0,0.0,48.09,2.762,190.9070184,7.508,0.8936073059360731,1156003.7
26.0,0.0,60.58,3.82,136.183129,7.767,0.7187214611872146,1021766.75
17.0,0.0,33.96,2.782,126.6066452,6.548,0.30205479452054795,752034.52
5.0,0.0,70.96,2.725,212.4169928,6.768,0.8936073059360731,284988.27
5.0,1.0,66.15,2.735,212.303441,6.768,0.9878995433789954,488362.61
40.0,0.0,47.51,4.023,137.9781333,4.125,0.4073059360730593,875372.91
38.0,0.0,46.2,3.66,130.2792258,12.187,0.13812785388127852,405215.91
29.0,0.0,58.56,4.101,134.6803871,9.966,0.4714611872146119,492932.51
21.0,0.0,75.04,3.899,215.6124735,7.931,0.4522831050228311,754236.7
5.0,0.0,39.7,2.572,211.6539716,6.566,0.4221461187214612,317173.1
27.0,0.0,72.93,3.997,142.3105933,8.239,0.7324200913242008,1780443.36
36.0,0.0,66.28,3.26,216.9395861,7.716,0.9659817351598173,332901.94
24.0,0.0,49.26,4.163,137.9781333,8.983,0.4073059360730593,1194334.65
38.0,0.0,91.98,3.105,126.1392,14.18,0.18584474885844748,361181.48
22.0,0.0,39.42,3.065,136.6075714,8.572,0.2828767123287671,1230514.58
30.0,0.0,54.68,2.72,210.8733316,8.324,0.30205479452054795,445736.36
41.0,0.0,57.29,3.764,197.6218954,6.547,0.09977168949771689,1374891.36
28.0,0.0,64.55,3.05,126.4713333,14.099,0.3963470319634703,1244177.21
23.0,0.0,69.53,3.903,136.0540323,4.584,0.4385844748858448,1416344.68
34.0,0.0,48.04,3.322,129.8051935,10.148,0.36347031963470317,992621.93
31.0,0.0,70.19,3.81,215.2772683,7.931,0.41278538812785387,1331137.96
27.0,0.0,38.07,2.919,135.5732602,8.237,0.4248858447488585,1313729.72
6.0,0.0,72.66,3.688,223.3346212,5.964,0.9303652968036529,1517075.67
40.0,0.0,52.02,2.776,132.7516667,5.287,0.6940639269406392,972405.38
41.0,0.0,66.0,2.715,189.4533931,7.363,0.5684931506849316,1174209.52
33.0,0.0,76.73,3.843,129.7936774,8.01,0.9100456621004567,231319.96
43.0,0.0,56.0,2.72,203.195159,9.521,0.30205479452054795,668098.49
22.0,0.0,75.85,2.735,136.5891118,8.433,0.27465753424657535,1074535.88
7.0,0.0,63.07,3.741,197.6551863,8.09,0.6831050228310502,642963.75
17.0,1.0,18.36,2.671,126.4962581,6.548,1.0054794520547945,841951.91
4.0,0.0,31.64,3.153,129.8555333,5.143,0.7828767123287671,2508955.24
31.0,0.0,68.62,3.622,214.7252242,7.931,0.6776255707762556,1416790.17
44.0,0.0,42.0,2.842,126.6072,7.61,0.9687214611872146,284322.52
8.0,0.0,76.02,2.64,214.7418728,6.315,0.6655251141552512,787295.09
35.0,0.0,72.88,3.704,140.1629528,8.684,0.7378995433789954,897037.25
43.0,0.0,74.74,2.826,202.6210737,9.593,0.47420091324200914,672062.08
3.0,0.0,86.15,2.619,214.8897938,7.346,0.7406392694063927,362134.09
31.0,0.0,68.52,3.594,223.0598077,6.17,0.8853881278538813,1378730.45
40.0,1.0,62.75,2.717,132.7564516,5.326,0.8579908675799087,967310.82
36.0,0.0,69.39,3.645,213.8116658,8.3,0.6776255707762556,428727.61
42.0,0.0,68.57,3.828,129.8051935,7.874,0.36347031963470317,597667.21
45.0,0.0,31.85,3.533,189.4214733,8.424,0.13812785388127852,700392.21
42.0,0.0,85.61,3.794,129.2015806,8.257,1.021917808219178,603147.26
